fiscalyear,school,from_full,to_full,total_trips,total_emissions,from_lat,from_lng,to_lat,to_lng
FY2023-24,101,"Charlotte, North Carolina, United States","Tampa, Florida, United States",1,99.08272246,35.2272086,-80.8430827,27.9477595,-82.458444
FY2023-24,101,"Chicago, Illinois, United States","Baltimore, Maryland, United States",40,4803.561592,41.8755616,-87.6244212,39.2908816,-76.610759
FY2023-24,101,"Chicago, Illinois, United States","Birmingham, Alabama, United States",1,111.1754957,41.8755616,-87.6244212,33.5206824,-86.8024326
FY2023-24,101,"Chicago, Illinois, United States","Boston, Massachusetts, United States",2,335.47693431000005,41.8755616,-87.6244212,42.3554334,-71.060511
FY2023-24,101,"Chicago, Illinois, United States","Champaign/Urbana, Illinois, United States",2,64.90907152,41.8755616,-87.6244212,40.1157948,-88.241194
FY2023-24,101,"Chicago, Illinois, United States","Columbus, Ohio, United States",1,67.79391915,41.8755616,-87.6244212,39.9622601,-83.0007065
FY2023-24,101,"Chicago, Illinois, United States","Houston, Texas, United States",1,180.4163746,41.8755616,-87.6244212,29.7589382,-95.3676974
FY2023-24,101,"Chicago, Illinois, United States","Miami, Florida, United States",1,211.9274381,41.8755616,-87.6244212,25.7741728,-80.19362
FY2023-24,101,"Chicago, Illinois, United States","New York, New York, United States",2,284.7653047,41.8755616,-87.6244212,40.7127281,-74.0060152
FY2023-24,101,"Chicago, Illinois, United States","Newark, New Jersey, United States",1,139.6520261,41.8755616,-87.6244212,40.735657,-74.1723667
FY2023-24,101,"Chicago, Illinois, United States","Philadelphia, Pennsylvania, United States",2,263.3103845,41.8755616,-87.6244212,39.9527237,-75.1635262
FY2023-24,101,"Chicago, Illinois, United States","Pittsburgh, Pennsylvania, United States",1,80.16338372,41.8755616,-87.6244212,40.4416941,-79.9900861
FY2023-24,101,"Chicago, Illinois, United States","Raleigh/Durham, North Carolina, United States",1,122.8781794,41.8755616,-87.6244212,35.880361449999995,-78.78723822
FY2023-24,101,"Chicago, Illinois, United States","San Jose, California, United States",1,323.9057924,41.8755616,-87.6244212,37.3361663,-121.890591
FY2023-24,101,"Chicago, Illinois, United States","Washington, District Of Columbia, United States",1,114.4912561,41.8755616,-87.6244212,38.8950368,-77.0365427
FY2023-24,101,"Cincinnati, Ohio, United States","Washington, District Of Columbia, United States",1,79.77329426,39.1014537,-84.5124602,38.8950368,-77.0365427
FY2023-24,101,"Colorado Springs, Colorado, United States","Las Vegas, Nevada, United States",1,117.416927,38.8339578,-104.825348,36.2533896,-115.2794366
FY2023-24,101,"Columbus, Ohio, United States","Baltimore, Maryland, United States",3,196.0199529,39.9622601,-83.0007065,39.2908816,-76.610759
FY2023-24,101,"Columbus, Ohio, United States","Charlotte, North Carolina, United States",2,135.3610421,39.9622601,-83.0007065,35.2272086,-80.8430827
FY2023-24,101,"Columbus, Ohio, United States","New York, New York, United States",1,93.03633585,39.9622601,-83.0007065,40.7127281,-74.0060152
FY2023-24,101,"Columbus, Ohio, United States","Philadelphia, Pennsylvania, United States",1,78.99311535,39.9622601,-83.0007065,39.9527237,-75.1635262
FY2023-24,101,"Columbus, Ohio, United States","Washington, District Of Columbia, United States",2,125.6088056,39.9622601,-83.0007065,38.8950368,-77.0365427
FY2023-24,101,"Dallas, Texas, United States","Baltimore, Maryland, United States",2,426.3314908,32.7762719,-96.7968559,39.2908816,-76.610759
FY2023-24,101,"Dallas, Texas, United States","Boston, Massachusetts, United States",1,275.6118102,32.7762719,-96.7968559,42.3554334,-71.060511
FY2023-24,101,"Dallas, Texas, United States","Los Angeles, California, United States",1,217.7651723,32.7762719,-96.7968559,34.0536909,-118.242766
FY2023-24,101,"Delhi, In","Doha, Qa",6,1679.14461,28.6273928,77.1716954,25.2856329,51.5264162
FY2023-24,101,"Denver, Colorado, United States","Austin, Texas, United States",1,151.1596652,39.7392364,-104.984862,30.2711286,-97.7436995
FY2023-24,101,"Denver, Colorado, United States","Baltimore, Maryland, United States",16,4205.998973,39.7392364,-104.984862,39.2908816,-76.610759
FY2023-24,101,"Denver, Colorado, United States","Boise, Idaho, United States",1,126.1939398,39.7392364,-104.984862,43.6166163,-116.200886
FY2023-24,101,"Denver, Colorado, United States","Los Angeles, California, United States",1,167.7384672,39.7392364,-104.984862,34.0536909,-118.242766
FY2023-24,101,"Denver, Colorado, United States","Minneapolis/St Paul, Minnesota, United States",2,264.4806529,39.7392364,-104.984862,44.878019050000006,-93.22092805
FY2023-24,101,"Denver, Colorado, United States","Portland, Oregon, United States",3,578.1125775,39.7392364,-104.984862,45.5202471,-122.674194
FY2023-24,101,"Denver, Colorado, United States","San Francisco, California, United States",6,1129.308982,39.7392364,-104.984862,37.7792588,-122.4193286
FY2023-24,101,"Denver, Colorado, United States","San Jose, California, United States",2,368.6345383,39.7392364,-104.984862,37.3361663,-121.890591
FY2023-24,101,"Detroit, Michigan, United States","Baltimore, Maryland, United States",1,79.38320481,42.3315509,-83.0466403,39.2908816,-76.610759
FY2023-24,101,"Detroit, Michigan, United States","Denver, Colorado, United States",2,395.904513,42.3315509,-83.0466403,39.7392364,-104.984862
FY2023-24,101,"Detroit, Michigan, United States","San Francisco, California, United States",2,733.4316849,42.3315509,-83.0466403,37.7792588,-122.4193286
FY2023-24,101,"Doha, Qa","Lagos, Ng",4,2428.497388,25.2856329,51.5264162,6.4550575,3.3941795
FY2023-24,101,"Doha, Qa","Washington, District Of Columbia, United States",7,8555.464684,25.2856329,51.5264162,38.8950368,-77.0365427
FY2023-24,101,"Fort Lauderdale, Florida, United States","New Orleans, Louisiana, United States",2,262.1401161,26.1223084,-80.1433786,29.9759983,-90.0782127
FY2023-24,101,"Fort Lauderdale, Florida, United States","Washington, District Of Columbia, United States",2,351.8606916,26.1223084,-80.1433786,38.8950368,-77.0365427
FY2023-24,101,"Fort Myers, Florida, United States","Baltimore, Maryland, United States",1,179.4411509,26.640628,-81.8723084,39.2908816,-76.610759
FY2023-24,101,"Frankfurt, Germany","Bologna, Italy",4,312.0715668,50.1106444,8.6820917,44.4938203,11.3426327
FY2023-24,101,"Frankfurt, Germany","Zurich, Ch",1,42.55150244,50.1106444,8.6820917,47.3744489,8.5410422
FY2023-24,101,"Harrisburg, Pennsylvania, United States","Charlotte, North Carolina, United States",1,80.35842845,40.2663107,-76.8861122,35.2272086,-80.8430827
FY2023-24,101,"Hartford, Connecticut, United States","Baltimore, Maryland, United States",4,271.1756766,41.764582,-72.6908547,39.2908816,-76.610759
FY2023-24,101,"Hong Kong, Hk","Beijing, Cn",1,218.6496774,22.2793278,114.1628131,40.190632,116.412144
FY2023-24,101,"Hong Kong, Hk","New York, New York, United States",3,4273.752069,22.2793278,114.1628131,40.7127281,-74.0060152
FY2023-24,101,"Hong Kong, Hk","Shanghai, Cn",1,151.9398441,22.2793278,114.1628131,31.2312707,121.4700152
FY2023-24,101,"Hong Kong, Hk","Singapore, Sg",1,281.6264453,22.2793278,114.1628131,1.2899175,103.8519072
FY2023-24,101,"Hong Kong, Hk","Taipei, Tw",1,97.52236463,22.2793278,114.1628131,25.0375198,121.5636796
FY2023-24,101,"Hong Kong, Hk","Tokyo, Japan",1,318.7756624,22.2793278,114.1628131,35.6768601,139.7638947
FY2023-24,101,"Houston, Texas, United States","Baltimore, Maryland, United States",9,1970.14681,29.7589382,-95.3676974,39.2908816,-76.610759
FY2023-24,101,"Houston, Texas, United States","Chicago, Illinois, United States",1,180.4163746,29.7589382,-95.3676974,41.8755616,-87.6244212
FY2023-24,101,"Houston, Texas, United States","Washington, District Of Columbia, United States",2,426.3314908,29.7589382,-95.3676974,38.8950368,-77.0365427
FY2023-24,101,"Huntsville, Alabama, United States","Washington, District Of Columbia, United States",1,119.1723296,34.729847,-86.5859011,38.8950368,-77.0365427
FY2023-24,101,"Indianapolis, Indiana, United States","Baltimore, Maryland, United States",1,100.2529908,39.7683331,-86.1583502,39.2908816,-76.610759
FY2023-24,101,"Indianapolis, Indiana, United States","Philadelphia, Pennsylvania, United States",1,114.2962113,39.7683331,-86.1583502,39.9527237,-75.1635262
FY2023-24,101,"Lagos, Ng","Doha, Qa",4,2428.497388,6.4550575,3.3941795,25.2856329,51.5264162
FY2023-24,101,"Larnaca, Cy","London, Gb",1,359.9936032,34.9236095,33.6236184,51.5074456,-0.1277653
FY2023-24,101,"Las Vegas, Nevada, United States","Baltimore, Maryland, United States",7,2599.206885,36.2533896,-115.2794366,39.2908816,-76.610759
FY2023-24,101,"Las Vegas, Nevada, United States","Oakland, California, United States",1,79.18816008,36.2533896,-115.2794366,37.8044557,-122.271356
FY2023-24,101,"Las Vegas, Nevada, United States","San Jose, California, United States",2,150.1844415,36.2533896,-115.2794366,37.3361663,-121.890591
FY2023-24,101,"London, Gb","Baltimore, Maryland, United States",3,1922.20663,51.5074456,-0.1277653,39.2908816,-76.610759
FY2023-24,101,"London, Gb","Larnaca, Cy",1,359.9936032,51.5074456,-0.1277653,34.9236095,33.6236184
FY2023-24,101,"Los Angeles, California, United States","Austin, Texas, United States",1,219.0034795,34.0536909,-118.242766,30.2711286,-97.7436995
FY2023-24,101,"Los Angeles, California, United States","Baltimore, Maryland, United States",17,6982.9913967699995,34.0536909,-118.242766,39.2908816,-76.610759
FY2023-24,101,"Los Angeles, California, United States","Boston, Massachusetts, United States",2,920.9467804,34.0536909,-118.242766,42.3554334,-71.060511
FY2023-24,101,"Los Angeles, California, United States","Charlotte, North Carolina, United States",1,374.676389,34.0536909,-118.242766,35.2272086,-80.8430827
FY2023-24,101,"Los Angeles, California, United States","Denver, Colorado, United States",2,335.4769343,34.0536909,-118.242766,39.7392364,-104.984862
FY2023-24,101,"Los Angeles, California, United States","Fort Lauderdale, Florida, United States",1,413.2408143,34.0536909,-118.242766,26.1223084,-80.1433786
FY2023-24,101,"Los Angeles, California, United States","Phoenix, Arizona, United States",1,71.97150509,34.0536909,-118.242766,33.4484367,-112.074141
FY2023-24,101,"Los Angeles, California, United States","San Diego, California, United States",1,26.20403258,34.0536909,-118.242766,32.7174202,-117.162772
FY2023-24,101,"Los Angeles, California, United States","Seattle, Washington, United States",1,186.0726717,34.0536909,-118.242766,47.6038321,-122.330062
FY2023-24,101,"Los Angeles, California, United States","Seoul, Kr",2,2114.321152,34.0536909,-118.242766,37.5666791,126.9782914
FY2023-24,101,"Los Angeles, California, United States","Washington, District Of Columbia, United States",1,403.5112574,34.0536909,-118.242766,38.8950368,-77.0365427
FY2023-24,101,"Louisville, Kentucky, United States","Baltimore, Maryland, United States",2,192.314103,38.2542376,-85.759407,39.2908816,-76.610759
FY2023-24,101,"Madison, Wisconsin, United States","Chicago, Illinois, United States",4,103.8545144,43.074761,-89.3837613,41.8755616,-87.6244212
FY2023-24,101,"Madison, Wisconsin, United States","Minneapolis/St Paul, Minnesota, United States",1,54.57170088,43.074761,-89.3837613,44.878019050000006,-93.22092805
FY2023-24,101,"Manchester, New Hampshire, United States","Baltimore, Maryland, United States",4,293.3472728,42.9956397,-71.4547891,39.2908816,-76.610759
FY2023-24,101,"Miami, Florida, United States","Baltimore, Maryland, United States",4,738.8294344,25.7741728,-80.19362,39.2908816,-76.610759
FY2023-24,101,"Miami, Florida, United States","Chicago, Illinois, United States",1,211.9274381,25.7741728,-80.19362,41.8755616,-87.6244212
FY2023-24,101,"Miami, Florida, United States","Raleigh/Durham, North Carolina, United States",1,136.7263552,25.7741728,-80.19362,35.880361449999995,-78.78723822
FY2023-24,101,"Miami, Florida, United States","Washington, District Of Columbia, United States",4,718.5447826,25.7741728,-80.19362,38.8950368,-77.0365427
FY2023-24,101,"Milan, Italy","New York, New York, United States",2,1408.486029,45.4641943,9.1896346,40.7127281,-74.0060152
FY2023-24,101,"Milwaukee, Wisconsin, United States","Baltimore, Maryland, United States",8,997.0686559,43.0386475,-87.9090751,39.2908816,-76.610759
FY2023-24,101,"Minneapolis/St Paul, Minnesota, United States","Baltimore, Maryland, United States",6,1091.860394,44.878019050000006,-93.22092805,39.2908816,-76.610759
FY2023-24,101,"Minneapolis/St Paul, Minnesota, United States","Seattle, Washington, United States",1,246.4231397,44.878019050000006,-93.22092805,47.6038321,-122.330062
FY2023-24,101,"Munich, Germany","Washington, District Of Columbia, United States",3,2254.957474,48.1371079,11.5753822,38.8950368,-77.0365427
FY2023-24,101,"Nashville, Tennessee, United States","Atlanta, Georgia, United States",2,102.4120906,36.1622767,-86.7742984,33.7489924,-84.3902644
FY2023-24,101,"Nashville, Tennessee, United States","Baltimore, Maryland, United States",8,912.8093329,36.1622767,-86.7742984,39.2908816,-76.610759
FY2023-24,101,"New Orleans, Louisiana, United States","Atlanta, Georgia, United States",1,82.6989652,29.9759983,-90.0782127,33.7489924,-84.3902644
FY2023-24,101,"New Orleans, Louisiana, United States","Baltimore, Maryland, United States",3,529.1109912300001,29.9759983,-90.0782127,39.2908816,-76.610759
FY2023-24,101,"New York, New York, United States","Atlanta, Georgia, United States",2,296.4679885,40.7127281,-74.0060152,33.7489924,-84.3902644
